expert_newsroom_id,expert_name,expert_url,total_project_count,total_project_count_us,expertises
ABC1234,LINK Landscape Architecture,https://www.archdaily.com/professional/link-landscape-architecture,5,5,"Landscape Architect,Landscape"
ABC1234,KGM Architectural Lighting,https://www.archdaily.com/professional/kgm-architectural-lighting,1,1,Lighting Designer
ABC1234,Psomas,https://www.archdaily.com/professional/psomas,2,2,Civil Engineer
ABC1234,Beck,https://www.archdaily.com/professional/beck,1,1,Contractor
ABC1234,Project Cost Resources Inc.,https://www.archdaily.com/professional/project-cost-resources-inc,3,3,"Consultants,Cost Estimator,Cost Consultant"
ABC1234,Blum Consulting Engineers,https://www.archdaily.com/professional/blum-consulting-engineers,4,4,"Consultants,MEP Engineer,Mechanical Engineer,MEP Engineering"
ABC1234,EJES,https://www.archdaily.com/professional/ejes,1,1,Consultants
ABC1234,Jaster – Quintanilla Engineering,https://www.archdaily.com/professional/jaster-quintanilla-engineering,2,2,"Consultants,Structural Engineers"
ABC1234,Lam Partners Inc,https://www.archdaily.com/professional/lam-partners-inc,20,18,"Consultants,Lighting Design,Lighting Designer,Lighting,Lighting Consultant"
ABC1234,4B Technology,https://www.archdaily.com/professional/4b-technology,1,1,Consultants
ABC1234,Hughes Associates,https://www.archdaily.com/professional/hughes-associates,5,5,"Consultants,Code Consultant"
ABC1234,WJHW,https://www.archdaily.com/professional/wjhw,1,1,Consultants
ABC1234,Kent Engineering,https://www.archdaily.com/professional/kent-engineering,1,1,Engineering
ABC1234,Clune,https://www.archdaily.com/professional/clune,1,1,Contractor
ABC1234,RMF Engineering,https://www.archdaily.com/professional/rmf-engineering,6,6,"MEP,Mechanical & Electrical Engineer,Structural Engineer,MEP Engineer"
ABC1234,4SE,https://www.archdaily.com/professional/4se,1,1,Structural
ABC1234,Dutton Engineering,https://www.archdaily.com/professional/dutton-engineering,2,2,"Civil,Civil Engineer"
ABC1234,Miles Engineering,https://www.archdaily.com/professional/miles-engineering,1,1,Fire Protection
ABC1234,4SE Structural Engineers,https://www.archdaily.com/professional/4se-structural-engineers,1,1,Structural Engineer
ABC1234,Design Build Corp.,https://www.archdaily.com/professional/design-build-corp,1,1,General Contractor
ABC1234,5 Engineering,https://www.archdaily.com/professional/5-engineering,1,1,Civil Engineer
ABC1234,Athos Engineering,https://www.archdaily.com/professional/athos-engineering,1,1,Structural Engineers
ABC1234,Gin Design Group,https://www.archdaily.com/professional/gin-design-group,1,1,Interior Designer
ABC1234,Jaffe Holden Acoustics,https://www.archdaily.com/professional/jaffe-holden-acoustics,8,7,"Acoustic Engineer,Acoustic Consultant,Acoustician,Structural Engineer,Acoustical Consultant,Consultants"
ABC1234,SRL International,https://www.archdaily.com/professional/srl-international,1,1,Acoustic Engineer
ABC1234,KCI Technologies,https://www.archdaily.com/professional/kci-technologies,1,1,MEP Engineer
ABC1234,Lighting Associates Inc,https://www.archdaily.com/professional/lighting-associates-inc,2,2,Lighting Designer
ABC1234,Norton & Schmidt,https://www.archdaily.com/professional/norton-schmidt,4,4,"Engineer,Structural Engineer"
ABC1234,Studio 804,https://www.archdaily.com/professional/studio-804,3,3,Contractor
ABC1234,5G Studio Collaborative,https://www.archdaily.com/professional/5g-studio-collaborative,1,1,Interior Designer
ABC1234,Datum Engineers,https://www.archdaily.com/professional/datum-engineers,9,9,"Structural Engineer,Structural,Structural Engineering,Consultants"
ABC1234,Jordan & Skala Engineers,https://www.archdaily.com/professional/jordan-skala-engineers,1,1,MEP Engineer
ABC1234,RLK Engineering,https://www.archdaily.com/professional/rlk-engineering,2,2,Civil Engineer
ABC1234,SMR Landscape Architects,https://www.archdaily.com/professional/smr-landscape-architects,1,1,Landscape Architect
ABC1234,UEB Builders,https://www.archdaily.com/professional/ueb-builders,1,1,General Contractor
ABC1234,Armstrong-Douglass,https://www.archdaily.com/professional/armstrong-douglass,2,2,"Structural Consultant,Engineering"
ABC1234,Huffman Builders,https://www.archdaily.com/professional/huffman-builders,1,1,General Contractor
ABC1234,AKT II,https://www.archdaily.com/professional/akt-ii,23,1,Structural Engineers
ABC1234,Bensonwood,https://www.archdaily.com/professional/bensonwood,3,3,"Structural Engineers,Fabricator,General Contractor"
ABC1234,Crescent View Engineering,https://www.archdaily.com/professional/crescent-view-engineering,2,2,"Civil Engineer,Civil"
ABC1234,Principle Builders Group,https://www.archdaily.com/professional/principle-builders-group,1,1,General Contractor
ABC1234,Bulley & Andrews,https://www.archdaily.com/professional/bulley-andrews,4,4,General Contractor
ABC1234,Austrian Associates,https://www.archdaily.com/professional/austrian-associates,1,1,Mechanical Engineers
ABC1234,Isaac Lewin Engineers,https://www.archdaily.com/professional/isaac-lewin-engineers,1,1,Structural Engineers
ABC1234,9th Avenue Designs,https://www.archdaily.com/professional/9th-avenue-designs,1,1,Landscape Designer
ABC1234,Winters-Schram Associates,https://www.archdaily.com/professional/winters-schram-associates,5,5,"General Contractor,Contractor"
ABC1234,A & F Consulting Engineers,https://www.archdaily.com/professional/a-f-consulting-engineers,1,1,Electrical Consultant
ABC1234,John Dorius & Associates,https://www.archdaily.com/professional/john-dorius-associates,6,6,"Mechanical Consultant,Mechanical Engineer,Mechanical"
ABC1234,John Martin & Associates,https://www.archdaily.com/professional/john-martin-associates,2,2,"Structural Consultant,Structural Engineering"
ABC1234,A Chan And Company,https://www.archdaily.com/professional/a-chan-and-company,1,1,Structural Engineer
ABC1234,Bancroft Construction,https://www.archdaily.com/professional/bancroft-construction,1,1,Metalwork
ABC1234,Borrego & Co.,https://www.archdaily.com/professional/borrego-co,1,1,General Contractors
ABC1234,Tso Construction,https://www.archdaily.com/professional/tso-construction,1,1,General Contractors
ABC1234,A Degree of Freedom: Structural Engineers,https://www.archdaily.com/professional/a-degree-of-freedom-structural-engineers,1,1,Engineering
ABC1234,K2 Construction Solutions,https://www.archdaily.com/professional/k2-construction-solutions,1,1,General Contractor
ABC1234,Adolfson & Peterson Construction,https://www.archdaily.com/professional/adolfson-peterson-construction,5,5,"Contractor,General Contractor"
ABC1234,A Dye Design,https://www.archdaily.com/professional/a-dye-design,1,1,Landscape Architect
ABC1234,Akali Lighting Design,https://www.archdaily.com/professional/akali-lighting-design,1,1,Lighting Consultant
ABC1234,Knipp Design Associates Inc.,https://www.archdaily.com/professional/knipp-design-associates-inc,1,1,Interior Design
